Dua Leo|3500|56|2.00|3.30
Dau Phong|11375|23|34.55|40.00
Thit Bo Dong Lanh|1475|59|560.00|800.00
Ca Chua|5000|200|1.50|2.50
Khoai Tay|7500|300|2.00|3.00
Cam|3750|150|5.00|7.00
Chuoi|6250|0|3.00|0.00
Oi|2500|0|4.50|0.00
Thit Ga|2000|80|300.00|450.00
Ca Hoi|1000|40|700.00|1000.00
Tom|1500|60|600.00|900.00
Trung Ga|12500|500|1.00|2.00
Sua Tuoi|5000|0|10.00|0.00
Pho Mai|2250|90|250.00|350.00
Banh Mi|7500|300|2.00|3.00
Kem|3750|150|5.00|7.00
Bia|10000|400|12.00|15.00
Nuoc Ngot|12500|500|8.00|10.00
Tra Sua|5000|0|15.00|0.00
Cafe|4500|0|20.00|0.00
Nuoc Ep|3000|0|18.00|0.00
Bot Giat|2500|0|30.00|0.00
Nuoc Rua Chen|3000|0|15.00|0.00
Dau Goi|2250|0|25.00|0.00
Xa Phong|5000|0|5.00|0.00
Kem Danh Rang|3750|0|10.00|0.00
Giay Ve Sinh|7500|0|8.00|0.00
Khan Giay|8750|0|6.00|0.00
Dau An|2000|0|20.00|0.00
Bot Mi|3750|0|12.00|0.00
Gia Vi|5000|0|3.00|0.00
Mat Ong|1250|0|50.00|0.00
Hat Sen|1750|0|40.00|0.00
Tra Xanh|2250|0|15.00|0.00
Sua Chua|3000|0|8.00|0.00
Keo Mut|10000|0|0.50|0.00
Banh Trang|7500|0|2.00|0.00
Snack|6250|0|3.00|0.00
Socola|4500|0|10.00|0.00
Banh Quy|5000|0|5.00|0.00
Nuoc Tuong|3750|0|7.00|0.00
Ruou Vang|1500|60|100.00|150.00
Bap Rang|12500|0|0.50|0.00
Gao|7500|0|10.00|0.00
Mi Goi|10000|0|2.50|0.00
Nuoc Mam|5000|0|15.00|0.00
Duong|6250|0|8.00|0.00
Muoi|8750|0|1.00|0.00
Hat Dieu|2500|0|20.00|0.00
